iterations_needed,decision_reached,misled,correct,comment
2,True,False,True,
2,True,False,True,
2,True,False,True,
2,True,True,False,
2,True,False,True,
5,False,,,191920 (rethinking rejection)
2,True,False,True,
2,True,False,True,
2,True,False,True,
2,True,False,True,
5,False,,,192305 (rethinking rejection)
2,True,False,True,
2,True,False,True,
2,True,False,True,
2,True,True,False,
2,True,False,True,
2,True,False,True,
2,True,False,True,
2,True,False,True,
2,True,False,True,
2,True,False,True,
2,True,False,True,
2,True,True,False,
2,True,False,True,
2,True,False,True,
2,True,False,True,
2,True,False,True,
2,True,False,True,
2,False,,,193506 (decision on proceeding)
2,True,False,True,
