iterations_needed,decision_reached,misled,correct,comment
2,True,False,True,
2,True,False,True,
2,True,False,True,
2,True,False,True,
2,True,False,True,
2,True,True,False,
2,True,False,True,
2,True,False,True,
2,True,False,True,
3,True,False,True,
2,True,False,True,
2,True,False,True,
2,True,False,True,
2,True,False,True,
2,True,True,False,
2,True,False,True,
2,True,False,True,
2,True,False,True,
3,True,False,True,
2,True,False,False,183321 (0.032)
2,True,False,True,
2,True,False,True,
4,True,False,True,183419 (rethinking)
2,True,False,True,
3,True,False,True,
2,True,False,False,183551 (0.032)
5,False,,,184653
2,True,True,False,
2,True,False,True,
2,True,False,True,
