experiment,label,test,p-value
MM,misled,Fisher's Exact Test,0.007409783038336962
MMS,misled,Fisher's Exact Test,0.007409783038336962
MS,iterations_needed,Mann-Whitney U Test,0.030843536201850333
MSM,iterations_needed,Mann-Whitney U Test,0.01427098781891949
MSSSS,misled,Fisher's Exact Test,0.047022325948256706
MSSSS,decision_reached,Fisher's Exact Test,0.0002507337317317869
MSSSS,iterations_needed,Mann-Whitney U Test,0.04049667274794088
SM,misled,Fisher's Exact Test,4.635688621467135e-05
SM,iterations_needed,Mann-Whitney U Test,0.002296373671104949
SMM,misled,Fisher's Exact Test,4.635688621467135e-05
SMM,iterations_needed,Mann-Whitney U Test,0.0006511238433465737
SMS,misled,Fisher's Exact Test,0.007409783038336962
SMS,iterations_needed,Mann-Whitney U Test,0.01427098781891949
SSMSS,misled,Fisher's Exact Test,0.02037279175315088
SSMSS,decision_reached,Fisher's Exact Test,0.007409783038336962
SSSMM,misled,Fisher's Exact Test,0.0004310204101236465
SSSMM,decision_reached,Fisher's Exact Test,0.00342116497224037
