iterations_needed,decision_reached,misled,correct,comment
5,False,,,145618
2,True,True,False,145658 (0.0125)
3,True,True,False,
2,True,False,False,145758 (3.21)
3,True,False,True,
5,False,,,145923
2,True,False,False,120022 (0.032)
2,True,True,False,
2,True,False,True,
2,False,,,150136 (decided on wrong thing)
2,True,False,True,
2,True,True,False,
5,False,,,150249
3,True,True,False,
4,True,False,True,
2,True,False,True,
2,True,False,True,
4,True,True,False,
5,False,,,150546
5,False,,,150621
2,True,False,True,
2,True,False,True,
2,True,False,True,
4,True,True,False,
3,True,False,True,
2,True,False,True,
5,False,,,150934
3,True,False,False,151008 (0.032)
2,True,False,True,
2,True,False,True,
