iterations_needed,decision_reached,misled,correct,comment
2,True,False,True,
2,True,True,False,225826 (0.0125)
4,True,True,False,225849 (0.2815 -> Blasius)
2,True,True,False,
2,True,False,True,
2,True,False,True,
2,True,False,True,
3,True,True,False, (re-evaluated)
2,True,False,True,
3,False,,,230240 (only decided on proceeding)
2,True,False,True,
2,True,True,False,
3,True,True,False,230450 (re-evaluated)
2,True,True,False,
2,False,,,230605 (only devided on proceeding)
2,True,True,False,
2,True,True,False,230652 (0.0125)
2,True,True,False,
2,True,True,False,
2,True,False,True,
2,True,False,True,
2,True,False,True,
2,True,True,False,
2,True,True,False,
2,True,False,True,
2,True,False,True,
3,True,False,True,231108 (re-evaluated)
3,True,True,False,
2,True,False,True,
2,True,True,False,
