iterations_needed,decision_reached,misled,correct,comment
2,True,False,True,
4,True,False,True,
4,True,False,True,
2,True,True,False,
3,True,True,False,
2,True,True,False,
4,True,True,False,
2,True,False,True,
2,True,False,True,
2,True,False,False,134819 (0.15)
3,True,True,False,
2,True,False,True,
5,False,,,134950
5,False,,,135018
2,True,False,False,135049 (0.2815)
5,False,,,135107
4,True,False,True,
2,True,False,True,
3,True,True,False,
2,True,False,True,
2,True,True,False,
5,True,True,False,
2,True,False,True,
2,True,False,True,
3,True,True,False,
2,True,True,False,
5,False,,,135633
5,False,,,135719
2,True,True,False,
4,True,True,False,
