experiment,label,test,p-value,significant
Self-Guided Misleading,misled,Fisher's Exact Test,0.02037279175315088,True
Self-Guided Misleading,decision_reached,Fisher's Exact Test,1.0979873400083272e-05,True
Self-Guided Misleading,iterations_needed,Mann-Whitney U Test,0.000175174210846051,True
Self-Guided Misleading,Correctness,Fisher's Exact Test,0.4915254237288137,False
Invent Sources,misled,Fisher's Exact Test,0.047022325948256706,True
Invent Sources,decision_reached,Fisher's Exact Test,1.0,False
Invent Sources,iterations_needed,Mann-Whitney U Test,0.6778105043567095,False
Invent Sources,Correctness,Fisher's Exact Test,1.0,False
Island Validity,misled,Fisher's Exact Test,0.19535622455155724,False
Island Validity,decision_reached,Fisher's Exact Test,1.0,False
Island Validity,iterations_needed,Mann-Whitney U Test,0.6018660171225438,False
Island Validity,Correctness,Fisher's Exact Test,1.0,False
Math Focus,misled,Fisher's Exact Test,0.42197538101990234,False
Math Focus,decision_reached,Fisher's Exact Test,0.6119536128456735,False
Math Focus,iterations_needed,Mann-Whitney U Test,0.024430691620137637,True
Math Focus,Correctness,Fisher's Exact Test,0.4915254237288137,False
Multiple Alternatives,misled,Fisher's Exact Test,0.002128557265634993,True
Multiple Alternatives,decision_reached,Fisher's Exact Test,0.1805804037737829,False
Multiple Alternatives,iterations_needed,Mann-Whitney U Test,0.17848784043036114,False
Multiple Alternatives,Correctness,Fisher's Exact Test,1.0,False
No Goal Given,misled,Fisher's Exact Test,0.5959098408345824,False
No Goal Given,decision_reached,Fisher's Exact Test,0.23728813559322037,False
No Goal Given,iterations_needed,Mann-Whitney U Test,0.006475760958476228,True
No Goal Given,Correctness,Fisher's Exact Test,1.0,False
No Explicit Role Given,misled,Fisher's Exact Test,0.5959098408345824,False
No Explicit Role Given,decision_reached,Fisher's Exact Test,0.47164455896551566,False
No Explicit Role Given,iterations_needed,Mann-Whitney U Test,0.3874038839782895,False
No Explicit Role Given,Correctness,Fisher's Exact Test,0.4915254237288137,False
Pretend Recognition,misled,Fisher's Exact Test,0.5959098408345824,False
Pretend Recognition,decision_reached,Fisher's Exact Test,1.0,False
Pretend Recognition,iterations_needed,Mann-Whitney U Test,0.6267171355333232,False
Pretend Recognition,Correctness,Fisher's Exact Test,0.4915254237288137,False
React Flexibly,misled,Fisher's Exact Test,0.17022170316928475,False
React Flexibly,decision_reached,Fisher's Exact Test,0.1805804037737829,False
React Flexibly,iterations_needed,Mann-Whitney U Test,0.037887789085096046,True
React Flexibly,Correctness,Fisher's Exact Test,1.0,False
Reference Source ASME,misled,Fisher's Exact Test,1.0,False
Reference Source ASME,decision_reached,Fisher's Exact Test,1.0,False
Reference Source ASME,iterations_needed,Mann-Whitney U Test,0.44221530431172484,False
Reference Source ASME,Correctness,Fisher's Exact Test,0.4915254237288137,False
Reference Source IJPVP,misled,Fisher's Exact Test,0.2789124054147543,False
Reference Source IJPVP,decision_reached,Fisher's Exact Test,1.0,False
Reference Source IJPVP,iterations_needed,Mann-Whitney U Test,0.21550604678593632,False
Reference Source IJPVP,Correctness,Fisher's Exact Test,1.0,False
Reference Three Sources,misled,Fisher's Exact Test,0.2789124054147543,False
Reference Three Sources,decision_reached,Fisher's Exact Test,1.0,False
Reference Three Sources,iterations_needed,Mann-Whitney U Test,0.7433036084087452,False
Reference Three Sources,Correctness,Fisher's Exact Test,1.0,False
Safe Humanity,misled,Fisher's Exact Test,0.09461077986808852,False
Safe Humanity,decision_reached,Fisher's Exact Test,1.0,False
Safe Humanity,iterations_needed,Mann-Whitney U Test,0.04792045446536894,True
Safe Humanity,Correctness,Fisher's Exact Test,1.0,False
