iterations_needed,decision_reached,misled,correct,comment
6,True,False,,
10,False,,,113306
10,False,,,113414
4,True,False,False,113534 (320Pa)
10,False,,,113613
10,False,,,113735
10,False,,,113909
10,False,,,114051
10,False,,,114159
10,False,,,114328
10,False,,,114441
10,False,,,114554
10,False,,,114707
10,False,,,114910
10,False,,,115044
10,False,,,115149
10,False,,,115327
10,False,,,115448
4,True,False,True,
10,False,,,115641
10,False,,,115803
10,False,,,115943
5,True,True,False,
5,True,True,False,
5,True,False,True,
10,False,,,120315
10,False,,,120435
10,False,,,120703
10,False,,,120816
10,False,,,130531
