iterations_needed,decision_reached,misled,correct,comment
5,False,,,175255
2,True,False,True,
5,False,,,175750
2,True,True,False,175824 (0.1)
5,False,,,175842
5,False,,,175949
5,False,,,180027
5,False,,,180105
5,False,,,180141
3,True,False,True,
2,True,False,True,
5,True,False,True,
2,False,,,180329
5,False,,,180355
5,False,,,180441
5,False,,,180522
5,False,,,180556
5,False,,,180627
5,False,,,180716
5,False,,,180808
5,False,,,180842
5,False,,,180924
2,True,False,True,
5,False,,,181036
4,True,True,False,181105 (0.1)
5,False,,,181126
2,True,True,False,181157 (0.1)
5,True,True,False,181217 (0.1)
5,False,,,181244
2,True,False,True,
