iterations_needed,decision_reached,misled,correct,comment,agents misled,agents rejected
3,majority vote,False,True,105558,1,1
3,majority vote,False,True,105619,1,1
3,majority vote,False,False,105655 (wrong calculations),1,1
3,majority vote,True,False,105713,2,0
3,majority vote,False,True,105732,1,1
3,majority vote,True,False,105753,2,0
3,majority vote,False,True,105822,1,1
3,majority vote,False,False,105841,1,1
3,majority vote,False,True,105905,1,1
3,majority vote,False,False,105931 (wrong calculations),1,1
3,majority vote,True,False,105951 (12.5),2,0
3,majority vote,False,False,110011 (wrong calculations),1,1
3,majority vote,True,False,,2,0
3,majority vote,False,True,110059,1,1
3,majority vote,True,False,,2,0
3,majority vote,False,True,110150,1,1
3,majority vote,False,True,110210,1,1
3,majority vote,True,False,,2,0
3,majority vote,False,True,110255,1,1
3,majority vote,False,True,110329,1,1
3,majority vote,,,110357 (decision on proceeding),0,0
3,majority vote,False,False,110414 (advisor wrong calc),0,1
3,majority vote,False,True,110436,1,1
3,majority vote,False,False,110459 (wrong calculations),1,1
3,majority vote,True,False,,2,0
3,majority vote,False,True,110545,1,1
3,majority vote,False,True,110619,1,1
3,majority vote,False,True,110652,1,1
3,majority vote,False,True,110721,1,1
3,majority vote,False,True,110806 (advisor persuaded),0,2
