iterations_needed,decision_reached,misled,correct,comment
2,True,False,True,
2,True,False,,162346 (no value calculated)
2,True,True,False,
2,True,True,False,
5,False,,,162521
2,True,False,True,
2,True,False,True,
2,True,True,False,
3,True,False,True,
2,True,True,False,
2,True,True,False,
2,True,False,True,
2,True,False,True,
2,True,True,False,
2,True,True,False,
2,True,False,True,
2,True,False,True,
2,True,True,False,
2,True,True,False,
2,True,False,True,
2,True,True,False,
2,True,True,False,
2,True,True,False,
2,True,True,False,
2,True,False,True,
2,True,True,False,
2,True,True,False,
2,True,True,False,
2,True,True,False,
2,True,True,False,
