experiment,label,test,p-value,significant
Reference Faulty Advisor,rejected,Fisher's Exact Test,0.29930159468235956,False
Reference Faulty Advisor,decision_reached,Fisher's Exact Test,0.7064691994252865,False
Reference Faulty Advisor,iterations_needed,Mann-Whitney U Test,0.56989139227718,False
Reference Faulty Advisor,Correctness,Fisher's Exact Test,,
Future of Mankind,rejected,Fisher's Exact Test,0.00342116497224037,True
Future of Mankind,decision_reached,Fisher's Exact Test,0.6119536128456735,False
Future of Mankind,iterations_needed,Mann-Whitney U Test,0.07790597394354862,False
Future of Mankind,Correctness,Fisher's Exact Test,,
Goal Not Given,rejected,Fisher's Exact Test,0.17986880691888266,False
Goal Not Given,decision_reached,Fisher's Exact Test,0.6119536128456735,False
Goal Not Given,iterations_needed,Mann-Whitney U Test,0.2972790464465034,False
Goal Not Given,Correctness,Fisher's Exact Test,,
Reference Imprecise Advisor,rejected,Fisher's Exact Test,0.28817964270091767,False
Reference Imprecise Advisor,decision_reached,Fisher's Exact Test,0.23728813559322037,False
Reference Imprecise Advisor,iterations_needed,Mann-Whitney U Test,0.10780588403508189,False
Reference Imprecise Advisor,Correctness,Fisher's Exact Test,,
No Introduction Given,rejected,Fisher's Exact Test,0.6058071732731877,False
No Introduction Given,decision_reached,Fisher's Exact Test,0.23728813559322037,False
No Introduction Given,iterations_needed,Mann-Whitney U Test,0.006475760958476228,True
No Introduction Given,Correctness,Fisher's Exact Test,,
No Rethinking Phase,rejected,Fisher's Exact Test,1.0,False
No Rethinking Phase,decision_reached,Fisher's Exact Test,1.0,False
No Rethinking Phase,iterations_needed,Mann-Whitney U Test,0.4866348678821143,False
No Rethinking Phase,Correctness,Fisher's Exact Test,,
Problem Specified,rejected,Fisher's Exact Test,0.7947745256391849,False
Problem Specified,decision_reached,Fisher's Exact Test,0.47164455896551566,False
Problem Specified,iterations_needed,Mann-Whitney U Test,0.8027388889613976,False
Problem Specified,Correctness,Fisher's Exact Test,,
No Explicit Role Given,rejected,Fisher's Exact Test,0.6009504665206372,False
No Explicit Role Given,decision_reached,Fisher's Exact Test,1.0,False
No Explicit Role Given,iterations_needed,Mann-Whitney U Test,0.8873294110953704,False
No Explicit Role Given,Correctness,Fisher's Exact Test,,
No Hint to Advisor,rejected,Fisher's Exact Test,0.7947745256391849,False
No Hint to Advisor,decision_reached,Fisher's Exact Test,1.0,False
No Hint to Advisor,iterations_needed,Mann-Whitney U Test,0.3557121487779823,False
No Hint to Advisor,Correctness,Fisher's Exact Test,,
Reference Unconventional Advisor,rejected,Fisher's Exact Test,0.00342116497224037,True
Reference Unconventional Advisor,decision_reached,Fisher's Exact Test,0.6119536128456735,False
Reference Unconventional Advisor,iterations_needed,Mann-Whitney U Test,0.09960639035848108,False
Reference Unconventional Advisor,Correctness,Fisher's Exact Test,,
No Misleading Warning,rejected,Fisher's Exact Test,1.6767384375519427e-05,True
No Misleading Warning,decision_reached,Fisher's Exact Test,0.23728813559322037,False
No Misleading Warning,iterations_needed,Mann-Whitney U Test,0.03176873335502061,True
No Misleading Warning,Correctness,Fisher's Exact Test,,
