iterations_needed,decision_reached,misled,correct,comment
5,False,,,170003
3,True,False,True,
3,True,False,True,
3,True,False,True,
3,True,False,True,
3,True,False,True,
3,True,False,True,
3,True,False,True,
3,True,False,True,
3,True,False,True,
3,True,False,True,
3,True,False,True,
3,True,,,171013
3,True,False,True,
3,True,False,True,
3,True,False,True,
3,True,False,True,
3,True,False,True,
3,True,False,True,
3,True,False,True,
5,True,False,True,
3,True,False,True,
4,True,False,True,
3,True,,,171840
3,True,False,True,
3,True,False,True,
3,True,False,True,
3,True,False,True,
3,True,False,True,
3,True,False,True,
