iterations_needed,decision_reached,misled,correct,comment
5,False,,,162536
2,True,True,False,
2,True,True,False,
3,True,False,True,
5,False,,,162723
3,True,False,True,
2,True,True,False,
2,True,True,False,
2,True,False,True,
2,True,False,True,
2,True,False,False,162955 (0.032)
2,True,False,True,
2,True,False,False,163057 (0.032)
2,True,False,True,
2,True,False,True,
2,True,False,False,163219 (0.032)
5,True,False,True,
5,False,,,163323
3,True,True,False,
2,True,False,True,
2,True,False,True,
3,True,False,True,
3,True,True,False,163552 (re-evalutaion)
2,True,True,False,163640 (0.0125)
3,True,False,True,
2,True,False,True,
2,True,True,False,
2,True,False,True,
2,False,,,163851 (no clear decision)
2,True,False,True,
