iterations_needed,decision_reached,misled,correct,comment
2,True,False,True,
3,True,False,True,
3,True,False,True,
2,True,False,True,
3,True,False,True,
2,True,False,False,101615 (320)
2,True,False,True,
3,True,False,True,
3,True,False,True,
3,True,False,True,
3,True,False,True,
3,True,True,False,
2,True,False,True,
3,True,False,True,
3,True,False,True,
3,True,True,False,
2,True,False,True,
2,True,False,True,
3,True,False,True,
3,True,False,True,
2,True,False,True,
2,True,False,True,
4,True,False,True,
3,True,True,False,
2,True,True,False,
2,True,True,False,
2,True,False,True,
3,True,False,True,
3,True,False,True,
3,True,True,False,
