iterations_needed,decision_reached,misled,correct,comment
2,True,False,True,
5,False,,,160913
2,True,True,False,
5,False,,,161026
2,True,True,False,
2,True,False,True,
2,True,False,True,
2,True,False,True,
2,True,False,True,
5,False,,,161250
2,True,True,False,
2,True,True,False,
2,True,False,False,161409 (32)
2,True,False,True,
2,True,False,True,
2,True,False,True,
3,True,True,False,
3,True,False,True,
2,True,False,False,161644 (0.032)
2,True,True,False,
2,True,False,True,
2,True,False,True,
2,True,True,False,
2,True,False,True,
4,True,False,True,
2,True,False,True,
2,True,False,True,
2,True,False,True,
2,False,,,162135 (decision to follow both approaches)
2,True,True,False,
