iterations_needed,decision_reached,misled,correct,comment
5,False,,,143559
3,True,True,False,
5,False,,,143659
2,True,True,False,
2,True,False,True,
2,True,False,True,
3,True,True,False,
5,False,,,143923
5,False,,,143950
2,True,True,False,
2,True,True,False,
2,True,True,False,
2,True,False,True,
2,True,True,False,
2,True,True,False,
2,True,True,False,
2,True,False,True,
3,True,True,False,
2,True,True,False,
2,True,True,False,
2,True,True,False,
2,True,True,False,
2,True,True,False,
3,True,True,False,
2,True,False,True,
3,True,True,False,
2,True,True,False,
2,True,False,False,144718 (0.032)
2,True,False,True,
2,True,True,False,
