iterations_needed,decision_reached,misled,correct,comment
2,True,True,False,
2,True,True,False,
2,True,True,False,222648 (document org solution)
2,True,True,False,222740 (document org solution)
2,True,True,False,
2,True,True,False,
2,True,True,False,
5,False,,,223041
5,False,,,223241
4,True,,,223716 (decided on nothing)
2,True,False,True,
2,True,True,False,
2,True,True,False,
2,True,True,False,
5,False,,,224156
2,True,True,False,
2,True,True,False,
2,True,True,False,
2,True,False,True,
5,False,,,224631
5,False,,,224828
2,True,True,False,
2,True,True,False,
2,True,False,True,
5,False,,,225221 (decided on both)
2,True,True,False,
2,True,True,False,
2,True,False,True,
2,True,False,True,
2,True,False,True,
