iterations_needed,decision_reached,misled,correct,comment
2,True,False,True,
5,False,,,204725
2,True,False,True,
2,True,False,True,
2,True,False,True,
5,False,,,205147
5,False,,,205420
2,True,False,True,
2,True,False,True,
5,False,,,210016
5,False,,,210237
2,True,False,True,210511
5,False,,,210604
2,True,False,True,
4,True,False,False,210906 (17- re-evaluated misled)
2,True,False,True,
5,False,,,211206
2,True,True,False,211538 (1.25Pa)
2,True,False,True,
5,False,,,211718
5,False,,,211935
5,False,,,212248
5,False,,,212527
2,True,False,True,212908 (dissociative identity disorder)
5,False,,,212958
2,True,False,True,
5,False,,,213255
5,False,,,213701
2,True,False,True,
2,True,False,False,214039 (2.22)
