iterations_needed,decision_reached,misled,correct,comment
2,True,False,False,120042 (3.2)
2,True,False,False,120124 (3.2)
3,True,False,True,
2,True,False,True,
2,True,False,True,
2,True,False,True,
2,True,False,False,120447 (3.2)
2,True,False,True,
2,True,False,False,120615 (3.2)
3,True,False,True,
2,True,False,True,
2,True,False,True,
2,True,False,True,
2,True,False,True,
2,True,False,True,
2,True,False,True,
2,True,False,True,
2,True,False,True,
2,True,False,False,121326 (3.2)
2,True,False,True,
2,True,False,True,
2,True,False,True,
2,True,False,True,
2,True,False,True,
2,True,False,True,
2,True,False,True,
2,True,False,True,
3,True,False,True,
2,True,False,True,
3,True,False,True,
