iterations_needed,decision_reached,misled,correct,comment
2,True,False,True,
2,True,False,True,
2,True,False,True,
2,True,False,True,
2,True,False,True,
2,True,True,False,
2,True,False,True,
2,True,False,True,
2,True,False,True,
2,True,False,False,151316 (32)
2,True,False,True,
2,True,False,False,151403 (32)
2,True,False,False,151432 (32)
2,True,False,True,
2,True,False,True,
2,True,False,True,
2,True,True,False,
5,False,,,151643
2,True,False,True,
2,True,False,True,
2,True,False,True,
2,True,False,True,
2,True,False,True,
2,True,False,True,
3,True,True,False,
2,True,False,True,
3,True,False,True,
2,True,True,False,
2,True,False,True,
3,True,False,True,152251 (change of mind)
