iterations_needed,decision_reached,misled,correct,comment
3,True,True,False,
2,True,False,True,
2,True,False,True,
2,True,False,True,
4,True,True,False,
2,True,False,True,
2,True,False,True,
2,True,False,True,
2,True,False,True,
2,True,False,False,115635 (0.1)
2,True,False,True,
2,True,False,True,
5,True,True,False,
2,True,False,True,
2,True,False,True,
2,True,False,True,
2,True,False,True,
2,True,False,True,
2,True,True,False,
2,True,False,True,
2,True,False,True,
2,True,False,True,
3,True,False,True,
5,False,,,123253
2,True,False,True,
2,True,False,True,
2,True,False,True,
3,True,False,True,
3,True,True,False,
