experiment,label,test,p-value,significant
Square Cross Section,misled,Fisher's Exact Test,0.0004310204101236465,True
Square Cross Section,decision_reached,Fisher's Exact Test,0.23728813559322037,False
Square Cross Section,iterations_needed,Mann-Whitney U Test,0.006475760958476228,True
Square Cross Section,Correctness,Fisher's Exact Test,0.002128557265634993,True
Triangular Cross Section,misled,Fisher's Exact Test,0.002128557265634993,True
Triangular Cross Section,decision_reached,Fisher's Exact Test,0.6119536128456735,False
Triangular Cross Section,iterations_needed,Mann-Whitney U Test,0.010951669117717208,True
Triangular Cross Section,Correctness,Fisher's Exact Test,6.181636680251984e-06,True
Misleading Axis (Axis Implicitly Given),misled,Fisher's Exact Test,0.6058071732731874,False
Misleading Axis (Axis Implicitly Given),decision_reached,Fisher's Exact Test,1.0,False
Misleading Axis (Axis Implicitly Given),iterations_needed,Mann-Whitney U Test,0.0006511238433465737,True
Misleading Axis (Axis Implicitly Given),Correctness,Fisher's Exact Test,0.2542143363175797,False
Misleading Axis (Axis Explicitly Given),misled,Fisher's Exact Test,0.797204335444914,False
Misleading Axis (Axis Explicitly Given),decision_reached,Fisher's Exact Test,0.35398721867185323,False
Misleading Axis (Axis Explicitly Given),iterations_needed,Mann-Whitney U Test,0.0022135712875332924,True
Misleading Axis (Axis Explicitly Given),Correctness,Fisher's Exact Test,0.08068479596072083,False
