iterations_needed,decision_reached,misled,correct,comment
3,True,False,True,
2,True,False,True,
2,True,False,False,103401 (3.2)
2,True,False,True,
2,True,False,True,
2,True,True,False,
3,True,False,True,
2,True,False,True,
2,True,False,True,
2,True,False,True,
2,True,False,True,
2,True,False,False,104233 (3.2)
2,True,True,False,
3,True,True,False,105231 (re-evaluated)
2,True,False,True,
2,True,False,True,
2,True,False,False,105420 (3.2)
2,True,False,True,
3,True,False,False,105516 (320)
2,True,False,True,
2,True,False,True,
2,True,True,False,
2,True,True,False,
4,True,False,True,
2,True,False,True,
4,True,True,False,
2,True,True,False,
2,True,False,True,
2,True,True,False,
2,True,True,False,
