iterations_needed,decision_reached,misled,correct,comment
2,True,False,,
2,True,False,,
2,True,False,,
2,True,False,,
2,True,False,,
2,True,False,,
2,True,False,,
2,True,False,,
2,True,False,,
2,True,False,,
2,True,False,,
2,True,False,,
2,True,False,,
2,True,True,,
2,True,False,,
2,True,False,,
2,True,False,,
4,True,False,True,123750 (re-evaluated)
3,True,True,,
5,False,,,123908 (dual apporach)
2,True,True,,
2,True,False,,
2,True,False,,
2,True,True,,
2,True,True,,
2,True,True,,
2,True,True,,
2,True,False,,
2,True,True,,
2,True,True,,
