iterations_needed,decision_reached,misled,correct,comment
2,True,False,True,
2,True,True,False,142927 (1.58)
2,True,False,True,
2,True,True,False,
2,True,True,False,
2,True,True,False,
2,True,False,False,143137 (0.0038)
2,True,True,False,
2,True,False,True,
2,True,False,True,
4,False,,,143257 (algorithm failed)
2,True,False,False,143344 (380)
2,True,True,False,
2,True,False,False,143435 (3.80)
2,True,False,False,143455 (3.8)
2,True,True,False,
2,True,True,False,143540 (1.52)
2,True,False,False,143604 (38)
2,True,False,True,
2,True,False,False,143727 (3.8)
2,True,False,False,143807 (3.8)
2,True,True,False,143834 (1524)
2,True,False,False,143904 (3.8)
2,True,False,True,
2,True,True,False,143947 (1524)
2,True,False,True,
2,True,True,False,
2,True,False,True,
2,True,False,True,
2,True,False,True,
2,True,True,False,
