iterations_needed,decision_reached,misled,correct,comment
2,True,True,False,
2,True,True,False,
2,True,True,False,
2,True,False,True,
2,True,True,False,
4,True,True,False,172031 (final not caught)
2,True,True,False,
2,True,True,False,
2,True,True,False,
5,False,,,172305
2,True,True,False,
2,True,False,True,
2,True,True,False,
5,False,,,172526
2,True,False,True,
2,True,True,False,
2,True,False,True,
2,True,False,True,
2,True,True,False,
2,True,False,True,
2,True,True,False,
2,True,True,False,
2,True,True,False,
2,True,True,False,
2,True,True,False,
3,True,True,False,
2,True,True,False,
3,True,False,False,173342 (0.1)
2,True,True,False,
2,True,True,False,
