iterations_needed,decision_reached,misled,correct,comment
5,False,,,150855
4,True,True,False,
2,True,False,True,
2,True,False,True,
3,True,False,True,
2,True,True,False,
2,True,False,True,
4,True,False,True,
2,True,False,True,
2,True,False,True,
2,True,False,True,
2,True,False,True,
4,True,False,True,
2,True,False,True,
2,True,False,True,
4,True,False,True,
2,True,False,False,151625 (0.032)
2,True,False,True,
2,True,False,True,
2,True,True,False,
3,True,False,True,
2,True,False,True,
2,True,False,True,
5,False,,,151904
2,True,True,False,
2,True,False,True,
2,True,False,True,
3,True,False,True,
2,True,False,True,
3,True,True,False,
