experiment,label,test,p-value,significant
Authoritative,rejected,Fisher's Exact Test,0.0021521918620873125,True
Authoritative,decision_reached,Fisher's Exact Test,1.0,False
Authoritative,iterations_needed,Mann-Whitney U Test,0.16571216783507536,False
Authoritative,Correctness,Fisher's Exact Test,,
Collaborative,rejected,Fisher's Exact Test,0.032594202939933606,True
Collaborative,decision_reached,Fisher's Exact Test,1.0,False
Collaborative,iterations_needed,Mann-Whitney U Test,0.21550604678593632,False
Collaborative,Correctness,Fisher's Exact Test,,
Collaborative \& Concise,rejected,Fisher's Exact Test,0.4295691931947636,False
Collaborative \& Concise,decision_reached,Fisher's Exact Test,0.47164455896551566,False
Collaborative \& Concise,iterations_needed,Mann-Whitney U Test,0.2011330867954595,False
Collaborative \& Concise,Correctness,Fisher's Exact Test,0.4915254237288137,False
Not Concise,rejected,Fisher's Exact Test,0.014980696048219262,True
Not Concise,decision_reached,Fisher's Exact Test,1.0,False
Not Concise,iterations_needed,Mann-Whitney U Test,0.06440394250337825,False
Not Concise,Correctness,Fisher's Exact Test,,
