experiment,label,test,p-value,significant
4o,rejected,Fisher's Exact Test,2.3151803459215232e-05,True
4o,decision_reached,Fisher's Exact Test,0.6119536128456735,False
4o,iterations_needed,Mann-Whitney U Test,0.0006511238433465737,True
4o,Correctness,Fisher's Exact Test,0.04190011890841873,True
4o mini: Presence Penalty = 2,rejected,Fisher's Exact Test,0.7965456378184194,False
4o mini: Presence Penalty = 2,decision_reached,Fisher's Exact Test,0.29897938215686065,False
4o mini: Presence Penalty = 2,iterations_needed,Mann-Whitney U Test,0.4856129836196744,False
4o mini: Presence Penalty = 2,Correctness,Fisher's Exact Test,1.0,False
4o mini: Presence Penalty = -2,rejected,Fisher's Exact Test,0.4378954215234297,False
4o mini: Presence Penalty = -2,decision_reached,Fisher's Exact Test,1.0,False
4o mini: Presence Penalty = -2,iterations_needed,Mann-Whitney U Test,0.2554252580852113,False
4o mini: Presence Penalty = -2,Correctness,Fisher's Exact Test,1.0,False
4o mini: Temperature = 0,rejected,Fisher's Exact Test,1.0,False
4o mini: Temperature = 0,decision_reached,Fisher's Exact Test,0.7064691994252865,False
4o mini: Temperature = 0,iterations_needed,Mann-Whitney U Test,0.3518355198668782,False
4o mini: Temperature = 0,Correctness,Fisher's Exact Test,1.0,False
4o mini: Temperature = 1,rejected,Fisher's Exact Test,0.006107224773226807,True
4o mini: Temperature = 1,decision_reached,Fisher's Exact Test,0.23728813559322037,False
4o mini: Temperature = 1,iterations_needed,Mann-Whitney U Test,0.29317442624087287,False
4o mini: Temperature = 1,Correctness,Fisher's Exact Test,1.0,False
4o mini: Top p = 0.1,rejected,Fisher's Exact Test,0.4295691931947636,False
4o mini: Top p = 0.1,decision_reached,Fisher's Exact Test,0.1805804037737829,False
4o mini: Top p = 0.1,iterations_needed,Mann-Whitney U Test,0.21305395480722122,False
4o mini: Top p = 0.1,Correctness,Fisher's Exact Test,1.0,False
o3 mini: High Reasoning Effort,rejected,Fisher's Exact Test,2.3151803459215232e-05,True
o3 mini: High Reasoning Effort,decision_reached,Fisher's Exact Test,0.6119536128456735,False
o3 mini: High Reasoning Effort,iterations_needed,Mann-Whitney U Test,0.09960639035848108,False
o3 mini: High Reasoning Effort,Correctness,Fisher's Exact Test,0.4915254237288137,False
o3 mini: Low Reasoning Effort,rejected,Fisher's Exact Test,1.9440445652776148e-06,True
o3 mini: Low Reasoning Effort,decision_reached,Fisher's Exact Test,0.23728813559322037,False
o3 mini: Low Reasoning Effort,iterations_needed,Mann-Whitney U Test,0.09960639035848108,False
o3 mini: Low Reasoning Effort,Correctness,Fisher's Exact Test,0.1454992249936118,False
o3 mini: Medium Reasoning Effort,rejected,Fisher's Exact Test,1.9440445652776148e-06,True
o3 mini: Medium Reasoning Effort,decision_reached,Fisher's Exact Test,0.23728813559322037,False
o3 mini: Medium Reasoning Effort,iterations_needed,Mann-Whitney U Test,0.03176873335502061,True
o3 mini: Medium Reasoning Effort,Correctness,Fisher's Exact Test,0.42380990998296975,False
