iterations_needed,decision_reached,misled,correct,comment
2,True,True,False,
2,True,False,True,
2,True,True,False,
2,True,True,False,
2,True,False,True,
2,True,True,False,
2,True,False,True,
2,True,False,True,
2,True,False,True,
2,True,False,True,
2,True,False,True,
2,True,False,True,
5,False,,,203417
2,True,False,True,
2,True,False,True,
2,True,False,True,
2,True,False,True,
2,True,False,True,
2,True,False,True,
2,True,False,True,
2,True,False,True,
2,True,False,True,
2,True,True,False,
2,True,False,True,
2,True,True,False,
2,True,False,True,
2,True,True,False,
2,True,False,True,
2,True,True,False,
2,True,True,False,
