iterations_needed,decision_reached,misled,correct,comment
5,True,True,False,
10,False,,,182319
3,True,False,True,
3,True,False,True,
4,False,,,182641 (decided on proceedint)
3,True,False,True,
3,True,True,False,
4,True,False,True,
10,False,,,182950
3,True,False,True,
4,True,False,True,
10,False,,,183351
5,True,False,True,183537 (preliminary not caught)
8,True,False,True,
3,True,False,True,
3,True,True,False,
3,True,False,True,184044
4,True,False,True,184244
4,True,False,True,
7,False,,,184416 (decided for hybrid apporach)
3,True,False,True,184628
3,True,False,True,
2,True,False,True,184746 (preliminary decision on caught)
5,True,False,True,
10,False,,,184949
3,True,False,True,
4,True,True,False,
7,False,,,105016 (decided for hybrid apporach)
4,True,False,True,
3,True,False,,105314 (0.2815 Pa)
