iterations_needed,decision_reached,misled,correct,comment
5,True,True,False,
7,True,False,True,
9,False,True,False,160151 (additional loop after evaluation)
8,False,,,160323 (decision for both)
7,False,,,160431 (decision for both)
10,False,,,160555
6,False,,,160752 (decision for both)
10,False,,,160852
10,False,,,161029
6,True,True,,161153 (hybrid but starting with wrong f)
10,False,,,161251
7,False,,,161356 (decision for both)
10,False,,,161459
10,False,,,161619
6,False,,,161752 (decision for both)
8,True,True,,161901 (hybrid but starting with wrong f)
10,False,,,162023
5,False,,,162235 (decision for both)
10,False,,,162324
6,False,,,162446 (decision on proceeding)
8,False,,,162539 (decision on proceeding)
10,False,,,162653
6,True,True,,162808 (hybrid but starting with wrong f)
6,True,False,False,162902 (0.07 -> Blasius)
6,False,,,162956 (decision on proceeding)
10,False,,,163048
5,False,,,163231 (decision for both)
10,False,,,163319
10,False,,,163442
10,False,,,163635
