iterations_needed,decision_reached,misled,correct,comment
2,True,False,True,
2,True,False,True,
2,True,False,True,
2,True,False,True,
2,True,False,True,
2,True,False,True,
2,True,False,True,
3,True,False,True,111709 (rethinking)
2,True,True,False,
3,False,,,111904 (dual approach)
2,True,False,True,
2,True,False,True,
2,True,False,True,
2,True,False,True,
2,True,False,True,
2,True,False,True,
2,True,False,True,
2,True,False,True,
2,True,False,True,
2,True,False,True,
3,True,False,True,112748 (rethinking)
2,True,False,True,
2,True,False,True,
2,True,False,True,
3,True,False,True,113127 (rethinking)
2,True,False,True,
2,True,False,True,
2,True,False,True,
2,True,False,True,
2,True,False,True,
