iterations_needed,decision_reached,misled,correct,comment
3,True,False,True,
4,True,False,True,
4,True,True,False,
3,True,False,True,
3,True,False,True,
3,True,,,174616
3,True,,,174647
3,True,False,True,
3,True,True,False,
3,True,False,True,
4,True,,,174841
3,True,False,True,
3,True,,,174949
3,True,False,True,
5,False,,,175047
3,True,False,True,
3,True,False,True,
3,True,False,True,
3,True,False,True,
3,True,,,175340
4,True,,,175402
3,True,False,True,
3,True,False,True,
3,True,,,175608
3,True,False,True,
3,True,,,175715
4,True,False,True,
3,True,,,175831
3,True,,,175906
3,True,,,175934
