iterations_needed,decision_reached,misled,correct,comment
4,True,False,True,
10,False,,,212942
10,False,,,213239
5,False,,,213608 (decided for hybrid approach)
4,True,False,True,213802 (no final decision stated but consensus reached)
4,False,,,213955 (decided on proceedings)
3,True,False,False,214055 (0.0256)
10,False,,,214148
10,False,,,214440
10,False,,,214758
5,True,False,True,
5,True,False,True,
5,False,,,215407 (decided on proceedings)
10,False,,,215551
3,True,False,True,215855
3,True,False,True,221257
3,True,True,False,221748
3,True,True,False,221841
3,True,False,True,223839
5,False,,,223932 (decided for hybrid approach)
6,True,False,True,224100
10,False,,,111427
3,True,True,False,111805
9,True,False,True,112019
8,False,,,112312 (no clear decision)
3,True,True,False,112912
4,True,False,True,130058
10,False,,,130207
3,True,,,131042 (decided on proceedings)
10,False,,,131141
