iterations_needed,decision_reached,misled,correct,comment
2,True,True,False,
2,True,True,False,
2,True,True,False,
2,True,True,False,
2,True,True,False,
2,True,,,131728
2,True,True,False,
2,True,True,False,
2,True,True,False,
2,True,False,True,
2,True,True,False,
4,True,,,132011
2,True,,,132049
2,True,True,False,
2,True,True,False,
5,False,,,132156
2,True,True,False,
2,True,True,False,
2,True,True,False,
2,True,True,False,
2,True,False,True,
2,True,True,False,
2,True,True,False,
2,True,True,False,
2,True,True,False,
2,True,True,False,
5,False,,,132929
2,True,True,False,
2,True,True,False,
2,True,True,False,
