experiment,label,test,p-value,significant
Expert MSM,misled,Fisher's Exact Test,0.3014671232267514,False
Expert MSM,decision_reached,Fisher's Exact Test,0.6119536128456735,False
Expert MSM,iterations_needed,Mann-Whitney U Test,0.009702041952028354,True
Expert MSM,Correctness,Fisher's Exact Test,0.4915254237288137,False
Expert SMM,misled,Fisher's Exact Test,0.0004310204101236465,True
Expert SMM,decision_reached,Fisher's Exact Test,0.6119536128456735,False
Expert SMM,iterations_needed,Mann-Whitney U Test,0.03176873335502061,True
Expert SMM,Correctness,Fisher's Exact Test,0.4915254237288137,False
Anonymous MSM,misled,Fisher's Exact Test,0.016855106410006433,True
Anonymous MSM,decision_reached,Fisher's Exact Test,1.0,False
Anonymous MSM,iterations_needed,Mann-Whitney U Test,0.03415435003160877,True
Anonymous MSM,Correctness,Fisher's Exact Test,0.4915254237288137,False
Named MSM,misled,Fisher's Exact Test,0.06727850825588425,False
Named MSM,decision_reached,Fisher's Exact Test,1.0,False
Named MSM,iterations_needed,Mann-Whitney U Test,0.11002542669006748,False
Named MSM,Correctness,Fisher's Exact Test,1.0,False
Anonymous SMM,misled,Fisher's Exact Test,0.42197538101990234,False
Anonymous SMM,decision_reached,Fisher's Exact Test,0.6119536128456735,False
Anonymous SMM,iterations_needed,Mann-Whitney U Test,0.003635633380210248,True
Anonymous SMM,Correctness,Fisher's Exact Test,0.4915254237288137,False
Named SMM,misled,Fisher's Exact Test,0.0004310204101236465,True
Named SMM,decision_reached,Fisher's Exact Test,0.6119536128456735,False
Named SMM,iterations_needed,Mann-Whitney U Test,0.003635633380210248,True
Named SMM,Correctness,Fisher's Exact Test,0.4915254237288137,False
