experiment,label,test,p-value,significant
4o,misled,Fisher's Exact Test,0.02037279175315088,True
4o,decision_reached,Fisher's Exact Test,1.0,False
4o,iterations_needed,Mann-Whitney U Test,0.8594256628924944,False
4o,Correctness,Fisher's Exact Test,0.4915254237288137,False
4o mini: Presence Penalty = 2,misled,Fisher's Exact Test,1.0,False
4o mini: Presence Penalty = 2,decision_reached,Fisher's Exact Test,0.6119536128456735,False
4o mini: Presence Penalty = 2,iterations_needed,Mann-Whitney U Test,0.18566263891838053,False
4o mini: Presence Penalty = 2,Correctness,Fisher's Exact Test,1.0,False
4o mini: Presence Penalty = -2,misled,Fisher's Exact Test,0.09461077986808852,False
4o mini: Presence Penalty = -2,decision_reached,Fisher's Exact Test,1.0,False
4o mini: Presence Penalty = -2,iterations_needed,Mann-Whitney U Test,0.9444124386398589,False
4o mini: Presence Penalty = -2,Correctness,Fisher's Exact Test,0.4915254237288137,False
4o mini: Temperature = 0,misled,Fisher's Exact Test,1.0,False
4o mini: Temperature = 0,decision_reached,Fisher's Exact Test,0.7064691994252865,False
4o mini: Temperature = 0,iterations_needed,Mann-Whitney U Test,0.8287207149232075,False
4o mini: Temperature = 0,Correctness,Fisher's Exact Test,0.4915254237288137,False
4o mini: Temperature = 1,misled,Fisher's Exact Test,0.047022325948256706,True
4o mini: Temperature = 1,decision_reached,Fisher's Exact Test,0.7064691994252865,False
4o mini: Temperature = 1,iterations_needed,Mann-Whitney U Test,0.8594256628924944,False
4o mini: Temperature = 1,Correctness,Fisher's Exact Test,0.6707485199902685,False
4o mini: Top p = 0.1,misled,Fisher's Exact Test,1.0,False
4o mini: Top p = 0.1,decision_reached,Fisher's Exact Test,0.47164455896551566,False
4o mini: Top p = 0.1,iterations_needed,Mann-Whitney U Test,0.1863388875544182,False
4o mini: Top p = 0.1,Correctness,Fisher's Exact Test,0.4915254237288137,False
o3 mini: High Reasoning Effort,misled,Fisher's Exact Test,0.0470223259482567,True
o3 mini: High Reasoning Effort,decision_reached,Fisher's Exact Test,0.6119536128456735,False
o3 mini: High Reasoning Effort,iterations_needed,Mann-Whitney U Test,0.28703744397943665,False
o3 mini: High Reasoning Effort,Correctness,Fisher's Exact Test,1.0,False
o3 mini: Low Reasoning Effort,misled,Fisher's Exact Test,0.7924942425907314,False
o3 mini: Low Reasoning Effort,decision_reached,Fisher's Exact Test,0.6119536128456735,False
o3 mini: Low Reasoning Effort,iterations_needed,Mann-Whitney U Test,0.1616051505178081,False
o3 mini: Low Reasoning Effort,Correctness,Fisher's Exact Test,0.42380990998296975,False
o3 mini: Medium Reasoning Effort,misled,Fisher's Exact Test,0.42197538101990234,False
o3 mini: Medium Reasoning Effort,decision_reached,Fisher's Exact Test,0.23728813559322037,False
o3 mini: Medium Reasoning Effort,iterations_needed,Mann-Whitney U Test,0.11644053029316476,False
o3 mini: Medium Reasoning Effort,Correctness,Fisher's Exact Test,0.6707485199902685,False
