iterations_needed,decision_reached,misled,correct,comment
2,True,False,True,
2,True,False,True,
2,True,False,True,
3,True,False,True,184515 (re-evaluated)
2,True,False,True,
2,True,False,True,
5,False,,,184720
2,True,False,True,
3,True,False,True,184823 (re-evaluated)
2,True,False,True,
2,True,False,True,
2,True,False,True,
2,True,False,True,
2,True,False,True,
2,True,False,True,
2,True,False,True,
2,True,False,False,185212 (32.64)
2,True,True,False,
2,True,False,True,
2,True,False,True,
2,True,True,False,
2,True,False,,185419 (no result calculated)
2,True,False,True,
2,True,False,True,
4,True,False,True,
2,True,False,True,
2,True,True,False,
2,True,False,False,185643 (0.032)
2,True,False,True,
2,True,False,True,
