iterations_needed,decision_reached,misled,correct,comment
2,True,False,True,
2,True,False,True,
2,True,False,True,
2,True,False,True,
2,True,True,False,
2,True,False,True,
4,True,False,True,
2,True,False,True,
2,True,False,True,
2,True,False,True,
3,True,False,True,
5,True,False,True,
2,True,True,False,
2,True,False,True,
3,True,False,True,
3,True,False,True,121257 (re-evaluated)
2,True,False,True,
5,False,,,121409
5,True,False,,121502 (no result calculated)
2,True,False,True,
2,True,False,True,
5,True,False,True,
2,True,False,True,
2,True,False,True,
2,True,False,True,
5,False,,,121816
2,True,False,True,
3,True,True,False,
2,True,False,True,
2,True,True,False,
