iterations_needed,decision_reached,misled,correct,comment
2,True,False,False,185915 (0.032)
2,True,True,False,
2,True,False,True,
2,True,False,True,
2,True,False,True,
2,True,False,True,
2,True,True,False,
2,True,True,False,
2,True,False,True,
2,True,False,True,
5,False,,,190421
2,True,False,True,
2,True,True,False,
2,True,False,True,
5,True,True,False,190714 (re-evaluated)
2,True,False,True,
2,True,False,True,
2,True,False,True,
2,True,True,False,
2,True,True,False,
2,True,False,True,
2,True,False,True,
2,True,False,True,
2,True,False,True,
2,True,False,True,
2,True,False,True,
2,True,True,False,
2,True,False,True,
2,False,,,191511 (not clearly decided)
2,True,False,True,
