iterations_needed,decision_reached,misled,correct,comment
2,True,False,True,
2,True,False,True,
2,True,False,True,
2,True,False,True,
2,True,False,True,
2,True,False,True,
2,True,False,True,
3,True,False,True,
2,True,False,True,
2,True,False,True,
2,True,False,True,
2,True,False,True,
3,True,False,True,
2,True,False,True,
3,True,False,True,
2,True,False,True,
2,True,False,True,
2,True,False,True,
2,True,False,True,
2,True,False,True,
2,True,False,True,
2,True,False,True,
2,True,False,True,
2,True,False,True,
2,True,False,True,
2,True,False,True,
3,False,,,130042 (not clearly decided)
3,True,False,True,
3,True,False,True,
2,True,False,True,
