experiment,label,test,p-value,significant
No Hint to Friction Factor,misled,Fisher's Exact Test,0.7961071585895803,False
No Hint to Friction Factor,decision_reached,Fisher's Exact Test,0.47164455896551566,False
No Hint to Friction Factor,iterations_needed,Mann-Whitney U Test,0.23277235649714034,False
No Hint to Friction Factor,Correctness,Fisher's Exact Test,0.4915254237288137,False
No Process Instruction,misled,Fisher's Exact Test,1.0,False
No Process Instruction,decision_reached,Fisher's Exact Test,1.0,False
No Process Instruction,iterations_needed,Mann-Whitney U Test,0.030843536201850333,True
No Process Instruction,Correctness,Fisher's Exact Test,0.4915254237288137,False
Question Only,misled,Fisher's Exact Test,0.02037279175315088,True
Question Only,decision_reached,Fisher's Exact Test,0.6119536128456735,False
Question Only,iterations_needed,Mann-Whitney U Test,0.04358769659019924,True
Question Only,Correctness,Fisher's Exact Test,1.0,False
