iterations_needed,decision_reached,misled,correct,comment
4,True,False,True,
5,False,,,154203
3,True,True,False,
2,True,True,False,
2,True,True,False,
2,True,True,False,
5,False,,,154414
5,False,,,154442
5,False,,,154515
4,True,True,False,
3,True,False,True,
3,True,True,False,
2,True,True,False,
5,False,,,154727
2,True,False,True,
5,False,,,154825
5,False,,,154855
2,True,True,False,
2,True,False,True,
2,True,False,True,
2,True,False,True,
3,True,True,False,
3,True,True,False,
2,True,False,True,
4,True,False,False,155230 (0.15)
2,True,True,False,
5,False,,,155324
2,True,False,True,
2,True,False,True,
2,True,True,False,
