experiment,label,test,p-value,significant
level_hard_comprehension,misled,Fisher's Exact Test,1.0,False
level_hard_comprehension,decision_reached,Fisher's Exact Test,0.12903225806451615,False
level_hard_comprehension,iterations_needed,Mann-Whitney U Test,0.12964261930122079,False
level_hard_comprehension,Correctness,Fisher's Exact Test,1.0,False
level_medium,misled,Fisher's Exact Test,1.0,False
level_medium,decision_reached,Fisher's Exact Test,1.0,False
level_medium,iterations_needed,Mann-Whitney U Test,0.5422748447179944,False
level_medium,Correctness,Fisher's Exact Test,1.0,False
level_medium_comprehension,misled,Fisher's Exact Test,0.11107917337436782,False
level_medium_comprehension,decision_reached,Fisher's Exact Test,0.05413513835947845,False
level_medium_comprehension,iterations_needed,Mann-Whitney U Test,0.31195700141528737,False
level_medium_comprehension,Correctness,Fisher's Exact Test,0.5282146160962072,False
