iterations_needed,decision_reached,misled,correct,comment
2,True,False,False,130822 (3.8)
2,True,False,True,
2,True,False,True,
2,True,False,True,130931 (0.379)
2,True,False,True,
2,True,False,True,131012 (0.379)
2,True,False,False,131030 (0.0038)
2,True,False,False,131051 (3.8)
2,True,False,True,
3,True,False,True,
2,True,False,False,131207 (3.8)
2,True,False,False,131236 (3.8)
3,True,False,False,131309 (3.8)
2,True,False,True,
2,True,False,False,131357 (379.5)
2,True,False,False,131422 (3.8)
2,True,False,True,
2,True,False,True,
2,True,False,True,
2,True,False,True,
2,True,False,False,131610 (3.79)
2,True,True,False,131626 (0.1905)
2,True,False,False,131646 (3.8)
2,True,False,True,
2,True,False,True,
2,True,False,True,
2,True,False,False,131808 (3.8)
2,True,False,False,131827 (379.45)
2,True,False,False,131855 (3.8)
2,True,False,True,
