iterations_needed,decision_reached,misled,correct,comment
2,True,True,False,
2,True,True,False,
5,False,,,142529
2,True,False,True,
2,True,False,True,
2,True,False,False,142705 (0.032)
2,True,True,False,
2,True,False,True,
2,True,True,False,
2,True,True,False,
2,True,False,True,
2,True,True,False,
2,True,False,False,143010 (3.2)
2,True,True,False,
4,True,True,False,
4,True,True,False,
3,True,True,False,
2,True,False,True,
2,True,False,True,
2,True,False,False,143325 (32)
2,True,False,True,
2,True,True,False,
5,True,True,False,
2,True,False,True,
2,True,True,False,
3,True,False,True,
2,True,False,True,
2,True,False,True,
2,True,False,True,
2,True,True,False,143755 (1.25)
