experiment,label,test,p-value,significant
MS (decentralized),misled,Fisher's Exact Test,0.17022170316928475,False
MS (decentralized),decision_reached,Fisher's Exact Test,0.23728813559322037,False
MS (decentralized),iterations_needed,Mann-Whitney U Test,0.007384828662452918,True
MS (decentralized),Correctness,Fisher's Exact Test,0.4915254237288137,False
SM (decentralized),misled,Fisher's Exact Test,0.02037279175315088,True
SM (decentralized),decision_reached,Fisher's Exact Test,0.23728813559322037,False
SM (decentralized),iterations_needed,Mann-Whitney U Test,0.007384828662452918,True
SM (decentralized),Correctness,Fisher's Exact Test,0.4915254237288137,False
SMM (decentralized),misled,Fisher's Exact Test,0.2789124054147543,False
SMM (decentralized),decision_reached,Fisher's Exact Test,0.23728813559322037,False
SMM (decentralized),iterations_needed,Mann-Whitney U Test,0.007384828662452918,True
SMM (decentralized),Correctness,Fisher's Exact Test,0.4915254237288137,False
