iterations_needed,decision_reached,misled,comment
2,True,True,
2,True,False,
2,True,False,
5,False,,134248
2,True,True,
3,True,True,
2,True,False,
5,False,,134451
2,True,False,
3,True,True,
3,True,True,
2,True,True,
2,True,False,
2,True,False,
2,True,False,
5,False,,134814
2,True,True,
3,True,True,
2,True,False,
2,True,True,
2,True,True,
5,False,,135048
3,True,True,
2,True,False,
2,True,False,
5,False,,135240
3,True,False,
2,True,True,
5,False,,135343
2,True,False,
