iterations_needed,decision_reached,misled,correct,comment
4,True,False,True,
2,True,False,True,
2,True,False,True,
3,True,False,True,161345 (re-evaluated)
5,False,,,161409
4,True,False,True,161430 (re-evaluated)
3,True,False,True,161449 (re-evaluated)
3,True,False,True,161515 (re-evaluated)
3,True,False,True,
4,True,False,True,
3,True,False,True,161614 (re-evaluated)
4,True,False,True,161640 (re-evaluated)
4,True,False,True,161707 (re-evaluated)
3,True,False,True,161738 (re-evaluated)
2,True,False,True,
2,True,True,False,
2,True,True,False,
3,True,False,True,
3,True,False,True,
3,True,False,True,
3,True,False,True,
4,True,False,True,161936 (re-evaluated)
3,True,False,True,
2,True,False,True,
3,True,False,True,
3,True,False,True,162030 (re-evaluated)
3,True,False,True,162050 (re-evaluated)
2,True,False,True,
2,True,False,True,
2,True,False,True,
