iterations_needed,decision_reached,misled,correct,comment
2,True,False,True,
5,False,,,135649
2,True,False,False,135732 (3.79)
2,True,False,False,135748 (3.8)
2,True,False,False,135818 (3.8)
4,True,False,False,135843 (3.8)
2,True,False,False,135914 (3.8)
2,True,False,False,135932 (3.8)
2,True,True,False,
2,True,False,True,
2,True,False,False,140028 (3.8)
2,True,False,True,
2,True,False,True,
2,True,False,False,140137 (3.8)
2,True,False,True,
2,True,False,True,
2,True,False,False,140251 (3.81)
2,True,False,False,140308 (380.4)
2,True,False,False,140333 (0.038)
2,True,False,False,140404 (3.8)
2,True,False,False,140425 (38)
2,True,False,False,140457 (380.5)
2,True,False,False,140535 (3.81)
2,True,False,False,140558 (3.8)
2,True,False,False,140619 (3.81)
2,True,False,False,140644 (3.8)
2,True,True,False,
2,True,False,True,
2,True,False,True,
2,True,False,False,140824 (3.8)
