iterations_needed,decision_reached,misled,correct,comment
2,True,True,False,
5,True,True,False,
5,False,,,140951
2,True,True,False,
3,True,False,True,
3,True,False,True,
5,False,,,141118
2,True,False,True,
5,True,False,True,
2,True,False,True,
5,True,True,False,
2,True,False,True,
4,True,True,False,
2,True,True,False,
2,True,True,False,
2,True,False,True,
5,False,,,141528
5,False,,,141557
2,True,False,True,
3,True,False,True,
2,True,True,False,
5,False,,,141725
3,True,True,False,
5,False,,,141815
2,True,False,True,
2,True,True,False,
3,True,False,True,
4,True,True,False,
2,True,True,False,
2,True,True,False,
