iterations_needed,decision_reached,misled,correct,comment,agents misled,agents rejected
3,majority vote,,,decided for both,0,0
3,majority vote,False,True,111602,0,2
3,majority vote,,,111628 (decided for both),0,0
3,majority vote,,,111704 (decided for both),0,0
3,majority vote,,,111741 (decided for both),0,0
3,majority vote,,,111807 (decided for both),0,0
3,majority vote,,,111837 (no decision),0,0
3,majority vote,False,True,111910,0,2
3,majority vote,False,,111955,1,1
3,majority vote,False,True,112024,0,2
3,majority vote,,,112055 (decided for both),0,0
3,majority vote,,,112120 (decided for both),0,0
3,majority vote,,,112154 (decided for both),0,0
3,majority vote,False,True,112222,0,2
3,majority vote,,,112250 (no decision),0,0
3,majority vote,True,False,112329,2,0
3,majority vote,True,False,112355,2,0
3,majority vote,,,112423 (no decision),0,0
3,majority vote,,,112500 (decided for both),0,0
3,majority vote,,,112522 (no decision),0,0
3,majority vote,,,112548 (decided for both),0,0
3,majority vote,,,112614 (decided for both),0,0
3,majority vote,False,,112641,1,1
3,majority vote,True,False,112710,2,0
3,majority vote,,,112736 (decided for both),0,0
3,majority vote,,,112807 (decided for both),0,0
3,majority vote,False,True,112838,0,2
3,majority vote,False,True,112906,0,2
3,majority vote,,,112946 (no decision),0,0
3,majority vote,,,113013 (no decision),0,0
