iterations_needed,decision_reached,misled,correct,comment
2,True,True,,
2,True,False,,
5,False,,,102853
2,True,True,,
3,True,True,,
5,False,,,103011
3,True,False,,
4,True,False,,
2,True,False,,
5,False,,,103155
5,False,,,103228
2,True,True,,103259 (1.25)
5,True,False,,
3,True,True,,
2,True,True,,
5,False,,,103438
2,True,True,,
2,True,False,,
4,True,False,,
2,True,False,,
2,True,True,,
4,True,True,,
5,True,True,,
2,True,False,,
2,True,True,,
3,True,True,,
2,True,True,,103849 (0.0125)
5,False,,,103908
4,True,False,,
2,True,True,,
