iterations_needed,decision_reached,misled,correct,comment
2,True,True,False,
4,True,True,False,
2,True,False,True,
3,True,True,False,
3,True,True,False,152703 (re-evaluated)
2,True,True,False,
2,True,True,False,
5,False,,,152829
3,True,True,False,
2,True,False,True,
5,False,,,152956
2,True,True,False,
5,True,False,True,
2,True,True,False,
2,True,False,True,
5,True,True,False,
4,True,False,True,
2,True,True,False,
2,True,True,False,
2,True,True,False,
4,True,False,True,
2,True,False,True,
2,True,True,False,
5,False,,,153700
2,True,False,True,
5,True,False,True,
2,True,True,False,
5,False,,,153911
5,False,,,153941
5,False,,,154025
