iterations_needed,decision_reached,misled,correct,comment
2,True,True,False,
2,True,False,False,175259 (0.15 -> dissociative identity disorder)
3,True,False,False,175344 (0.385)
2,True,False,True,
2,True,True,False,
2,True,False,True,
2,True,True,False,
2,True,False,True,
2,True,False,True,
2,True,False,True,
2,True,False,True,
2,True,False,True,
2,True,True,False,
2,True,False,True,
2,True,True,False,
2,True,True,False,
2,True,False,True,
2,True,False,True,
2,True,True,False,
2,True,True,False,
2,True,False,True,
5,False,,,180222
2,True,False,True,
2,True,True,False,
2,True,False,True,
2,True,False,True,
5,False,,,180510
2,True,False,True,
2,True,False,True,
2,True,False,True,
