iterations_needed,decision_reached,misled,correct,comment
2,True,False,False,160218 (320)
2,True,False,,160239 (no result calculated)
2,True,False,True,
2,True,False,True,
2,True,False,True,
2,True,False,False,160419 (0.032)
2,True,False,True,
2,True,False,False,160511 (320)
2,True,False,True,
2,True,False,True,
2,True,False,True,
2,True,False,True,
2,True,False,True,
2,True,False,False,160749 (320)
2,True,False,True,
2,True,False,True,
2,True,False,True,
2,True,False,True,
2,True,False,True,
2,True,False,False,161015 (320)
2,True,False,True,
2,True,False,True,
2,True,False,True,
2,True,False,False,161215 (320)
2,True,False,False,161256 (320)
2,False,,,161327 (not decided on result)
2,True,False,True,
2,True,False,,161416 (no result calculated)
2,True,False,False,161449 (320)
2,True,False,False,161522 (320)
