iterations_needed,decision_reached,misled,comment
2,True,False,
2,True,False,
2,True,False,
2,True,False,
2,True,False,
2,True,False,
2,True,False,
2,True,False,
2,True,False,
2,True,False,
2,True,False,
2,True,False,
2,True,False,
2,True,False,
2,True,False,
3,True,False,
2,True,False,
2,True,False,
5,False,,161242 re-evaluation
2,True,False,
2,True,False,
2,True,False,
2,True,False,
2,True,False,
2,True,False,
2,True,False,
2,True,False,
5,False,,161754-re-evaluation
5,False,,161843
5,False,,161937
