iterations_needed,decision_reached,misled,correct,comment
2,True,False,False,110847 (3.2)
2,True,False,True,
2,True,False,True,
3,True,True,False,111012 (1.25)
5,True,True,False,
2,True,False,True,
2,True,False,True,
2,True,True,False,
3,True,True,False,111309 (re-evaluated)
2,True,False,False,111354 (0.032)
2,True,True,False,
2,True,True,False,
2,True,False,False,111520 (32)
2,True,False,False,111542 (3.2)
2,True,False,True,
2,True,False,True,
2,True,False,True,
2,True,False,True,
2,True,False,True,
2,True,True,False,
2,True,False,True,
2,True,True,False,
2,True,False,True,
2,True,False,True,
2,True,False,False,114237 (3.2)
3,True,False,True,
5,False,,,114333
2,True,True,False,
3,True,True,False,114449 (1.25
2,True,True,False,
