iterations_needed,decision_reached,misled,correct,comment
2,True,False,True,
3,True,True,False,
2,True,False,True,
2,True,False,True,
2,True,False,True,
4,True,False,True,
3,True,False,True,
3,True,True,False,
2,True,False,True,
2,True,True,False,
2,True,False,True,
2,True,False,True,
3,True,True,False,
5,False,,,145226
2,True,False,True,
5,False,,,145310
2,True,False,True,
4,True,True,False,
2,True,False,True,
2,True,False,True,
5,False,,,145554
2,True,False,True,
2,True,False,True,
2,True,False,True,
5,True,False,True,
2,True,False,True,
2,True,True,False,
2,True,False,True,
2,True,False,True,
3,True,False,True,
