iterations_needed,decision_reached,misled,correct,comment
5,False,,,195536
5,False,,,195655
2,True,False,True,
5,False,,,195907
5,False,,,200058
5,False,,,200241
2,True,True,False,
2,True,False,True,
2,True,False,True,
2,True,False,True,
2,True,True,False,
2,True,True,False,
5,False,,,200929
5,False,,,201055
5,False,,,201322
2,True,True,False,
5,False,,,201748
5,False,,,202110
5,False,,,202324
5,False,,,202637
2,True,False,True,
2,True,False,True,
5,False,,,203203
2,True,True,False,
2,True,False,True,
5,False,,,203753
2,False,,,203958 (decision on proceeding)
5,False,,,204035
5,False,,,204329
2,True,False,True,
