iterations_needed,decision_reached,misled,correct,comment
2,True,False,True,
3,True,True,False,
2,True,False,True,
2,True,True,False,
2,True,False,True,
2,True,False,True,
2,True,True,False,
2,True,True,False,
2,True,False,True,
2,True,False,True,
2,True,False,True,
2,True,False,True,
2,True,False,True,
5,False,,,145606 (re-evaluation)
4,True,False,True,
2,True,False,True,
2,True,False,True,
2,True,False,False,145816 (0.032)
2,True,False,True,
2,True,False,False,145853 (0.032)
2,True,False,True,
2,True,False,False,145936 (0.032)
2,True,False,True,
3,False,True,False,150025 (0.0125)
2,True,False,True,
2,True,False,True,
2,True,False,True,
2,True,False,True,
2,True,False,True,
2,True,True,False,
