iterations_needed,decision_reached,misled,correct,comment
2,True,,True,
3,True,,True,165933 (preliminary decision bypassed)
2,True,,False,170113 (disjointed path)
2,True,,False,170137 (claiming not existence of path)
2,True,,True,
2,True,,False,170234 (too long path)
2,True,,False,170304 (disjointed path)
2,True,,False,170316 (disjointed path)
2,True,,True,
2,True,,False,170352 (used non-existent bridges)
2,True,,False,170406 (used non-existent bridges)
2,True,,False,170436 (too long path)
2,True,,False,170502 (preliminary decision bypassed + disjointed path)
2,True,,True,
2,True,,False,170533 (too short path)
2,True,,False,170602 (too short path)
2,True,,False,170625 (too long path)
2,True,,True,
2,True,,False,170719 (disjointed path)
2,True,,True,170740 (preliminary decision bypassed)
2,True,,False,170805 (too short path)
2,True,,True,
2,True,,True,
2,True,,True,
2,True,,False,170934 (too long path)
2,True,,False,170952 (used non-existent bridges + too short)
2,True,,False,171001 (too long path)
2,True,,False,171018 (preliminary decision bypassed + used non-existent bridges)
2,True,,False,171039 (too long path)
2,True,,False,171055 (too short path)
